matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
3,231,random/repetition_1,random,random,1,3,24,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,232,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,45,1,win,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,232,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,43,4,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,232,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,39,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,232,random/repetition_1,random,random,1,3,20,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,233,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,39,5,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,233,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,44,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,233,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,42,0,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,233,random/repetition_1,random,random,1,3,25,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,234,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,32,4,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,234,random/repetition_1,random,random,1,1,22,2,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|variable_2_4/repetition_1
3,234,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,37,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1|variable_2_4/repetition_1
3,234,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,46,0,win,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,235,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,41,1,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,235,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,42,4,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,235,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,40,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,235,random/repetition_1,random,random,1,3,19,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,236,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,47,2,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,236,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,43,2,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,236,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,34,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,236,random/repetition_1,random,random,1,3,17,4,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|fixed_4p/repetition_1
3,237,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,40,1,loss,random/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,237,random/repetition_1,random,random,1,1,24,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,237,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,41,3,loss,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
3,237,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,54,2,win,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,238,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,41,2,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,238,random/repetition_1,random,random,1,1,14,1,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,238,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,37,3,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,238,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,44,4,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,239,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,31,2,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,239,random/repetition_1,random,random,1,1,25,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,239,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,41,2,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,239,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,50,3,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,240,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,30,2,loss,variable_encoder_2_4/repetition_3|random/repetition_1|variable_2_4/repetition_1
3,240,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,46,3,win,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
3,240,random/repetition_1,random,random,1,2,18,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,240,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,37,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,241,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,45,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,241,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,37,2,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,241,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,25,3,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,241,random/repetition_1,random,random,1,3,23,0,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|variable_2_4/repetition_1
3,242,random/repetition_1,random,random,1,0,25,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,242,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,41,2,win,random/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,242,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,38,3,loss,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
3,242,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,40,2,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,243,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,41,3,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,243,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,40,2,loss,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,243,random/repetition_1,random,random,1,2,23,3,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|fixed_4p/repetition_1
3,243,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,33,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,244,random/repetition_1,random,random,1,0,21,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,244,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,31,3,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,244,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,40,2,win,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,244,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,39,3,loss,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
3,245,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,40,3,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,245,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,29,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,245,random/repetition_1,random,random,1,2,13,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,245,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,43,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,246,random/repetition_1,random,random,1,0,20,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,246,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,36,1,loss,random/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,246,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,45,4,win,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
3,246,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,43,2,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,247,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,52,5,win,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,247,random/repetition_1,random,random,1,1,16,3,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|variable_2_4/repetition_1
3,247,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,38,0,loss,variable_encoder_2_4/repetition_3|random/repetition_1|variable_2_4/repetition_1
3,247,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,43,1,loss,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,248,random/repetition_1,random,random,1,0,14,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,248,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,55,3,win,random/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,248,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,40,2,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,248,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,32,0,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,249,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,35,2,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,249,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,41,2,win,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,249,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,33,4,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,249,random/repetition_1,random,random,1,3,13,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,250,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,40,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,250,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,62,3,win,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,250,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,44,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,250,random/repetition_1,random,random,1,3,25,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,251,random/repetition_1,random,random,1,0,5,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,251,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,40,3,loss,random/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,251,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,36,3,loss,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
3,251,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,41,3,win,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,252,random/repetition_1,random,random,1,0,30,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,252,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,26,5,loss,random/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,252,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,47,3,win,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,252,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,35,1,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,253,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,48,2,win,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,253,random/repetition_1,random,random,1,1,20,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,253,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,48,1,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,253,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,44,4,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,254,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,36,0,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,254,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,49,2,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,254,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,43,5,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,254,random/repetition_1,random,random,1,3,14,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,255,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,37,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,255,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,31,4,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,255,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,43,3,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,255,random/repetition_1,random,random,1,3,25,0,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,256,random/repetition_1,random,random,1,0,19,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|fixed_4p/repetition_1
3,256,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,41,3,loss,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
3,256,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,43,3,loss,random/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,256,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,46,1,win,random/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,257,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,35,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,257,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,37,4,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,257,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,38,2,win,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,257,random/repetition_1,random,random,1,3,22,3,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|variable_2_4/repetition_1
3,258,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,36,2,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,258,random/repetition_1,random,random,1,1,34,3,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,258,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,34,1,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,258,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,38,2,win,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
3,259,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,43,2,win,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|random/repetition_1
3,259,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,36,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,259,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,30,2,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,259,random/repetition_1,random,random,1,3,31,3,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_3|fixed_4p/repetition_1
3,260,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,41,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,260,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,38,4,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,260,random/repetition_1,random,random,1,2,15,2,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,260,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,43,2,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
3,261,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,36,3,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,261,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,38,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,261,random/repetition_1,random,random,1,2,16,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|fixed_4p/repetition_1
3,261,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,49,3,win,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,262,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,42,3,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,262,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,34,0,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,262,random/repetition_1,random,random,1,2,22,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,262,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,46,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,263,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,43,4,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,263,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,44,0,win,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,263,random/repetition_1,random,random,1,2,22,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|fixed_4p/repetition_1
3,263,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,43,3,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,264,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,37,4,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,264,random/repetition_1,random,random,1,1,29,0,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|variable_2_4/repetition_1
3,264,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,45,4,win,variable_encoder_2_4/repetition_3|random/repetition_1|variable_2_4/repetition_1
3,264,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,35,0,loss,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,265,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,39,5,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
3,265,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,32,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1|fixed_4p/repetition_1
3,265,random/repetition_1,random,random,1,2,18,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|fixed_4p/repetition_1
3,265,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,38,1,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,266,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,31,2,loss,variable_encoder_2_4/repetition_3|random/repetition_1|variable_2_4/repetition_1
3,266,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,46,4,win,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
3,266,random/repetition_1,random,random,1,2,23,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,266,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,44,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,267,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,41,3,loss,variable_encoder_2_4/repetition_3|variable_2_4/repetition_1|random/repetition_1
3,267,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,47,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,267,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,39,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|random/repetition_1
3,267,random/repetition_1,random,random,1,3,23,0,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,268,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,51,2,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,268,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,43,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_3
3,268,random/repetition_1,random,random,1,2,18,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_3
3,268,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,3,52,3,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
3,269,random/repetition_1,random,random,1,0,18,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,269,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,34,5,loss,random/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
3,269,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,37,2,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,269,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,41,1,win,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_3
3,270,random/repetition_1,random,random,1,0,16,2,loss,variable_encoder_2_4/repetition_3|fixed_4p/repetition_1|variable_2_4/repetition_1
3,270,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,43,5,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
3,270,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,45,1,win,random/repetition_1|variable_encoder_2_4/repetition_3|variable_2_4/repetition_1
