matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
31,3013,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,45,1,loss,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
31,3013,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,1,44,5,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3013,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,50,3,win,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3014,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,0,35,2,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3014,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,45,3,loss,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
31,3014,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,48,2,win,fixed_3p/repetition_3|variable_2_4/repetition_1
31,3015,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,0,37,4,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3015,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,38,1,loss,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
31,3015,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,50,5,win,fixed_3p/repetition_3|variable_2_4/repetition_1
31,3016,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,48,1,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3016,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,57,2,win,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3016,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,37,5,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
