matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
30,2967,random/repetition_1,random,random,1,2,26,0,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2968,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,59,3,win,random/repetition_1|fixed_3p/repetition_2
30,2968,random/repetition_1,random,random,1,1,27,1,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2968,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,52,2,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2969,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,47,3,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,2969,random/repetition_1,random,random,1,1,31,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2969,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,58,4,win,fixed_3p/repetition_2|random/repetition_1
30,2970,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,53,3,win,fixed_3p/repetition_2|random/repetition_1
30,2970,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,49,4,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2970,random/repetition_1,random,random,1,2,23,2,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2971,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,43,5,win,fixed_3p/repetition_2|random/repetition_1
30,2971,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,36,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2971,random/repetition_1,random,random,1,2,31,0,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2972,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,46,3,win,fixed_3p/repetition_2|random/repetition_1
30,2972,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,43,0,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2972,random/repetition_1,random,random,1,2,37,4,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2973,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,60,3,win,variable_encoder_2_4/repetition_3|random/repetition_1
30,2973,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,43,1,loss,fixed_3p/repetition_2|random/repetition_1
30,2973,random/repetition_1,random,random,1,2,35,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2974,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,62,3,win,variable_encoder_2_4/repetition_3|random/repetition_1
30,2974,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,43,4,loss,fixed_3p/repetition_2|random/repetition_1
30,2974,random/repetition_1,random,random,1,2,22,1,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2975,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,51,4,win,variable_encoder_2_4/repetition_3|random/repetition_1
30,2975,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,42,4,loss,fixed_3p/repetition_2|random/repetition_1
30,2975,random/repetition_1,random,random,1,2,29,1,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2976,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,58,4,win,fixed_3p/repetition_2|random/repetition_1
30,2976,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,57,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2976,random/repetition_1,random,random,1,2,39,0,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2977,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,47,2,win,random/repetition_1|fixed_3p/repetition_2
30,2977,random/repetition_1,random,random,1,1,21,0,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2977,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,44,4,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2978,random/repetition_1,random,random,1,0,17,1,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2978,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,56,3,win,random/repetition_1|fixed_3p/repetition_2
30,2978,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,47,3,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,2979,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,43,2,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2979,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,46,4,win,fixed_3p/repetition_2|random/repetition_1
30,2979,random/repetition_1,random,random,1,2,24,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2980,random/repetition_1,random,random,1,0,20,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2980,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,51,2,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2980,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,37,4,loss,random/repetition_1|fixed_3p/repetition_2
30,2981,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,57,4,win,variable_encoder_2_4/repetition_3|random/repetition_1
30,2981,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,47,3,loss,fixed_3p/repetition_2|random/repetition_1
30,2981,random/repetition_1,random,random,1,2,23,3,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2982,random/repetition_1,random,random,1,0,27,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2982,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,54,3,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2982,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,44,2,loss,random/repetition_1|fixed_3p/repetition_2
30,2983,random/repetition_1,random,random,1,0,24,1,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
