step	sps
0	5.342667675509325
1	3.4425196695289326
2	2.5273834258085355
3	1.9063883014238698
4	1.592200680185599
5	1.37435747546799
6	1.1954423713987914
7	1.0603292192305611
8	0.9453876473342068
9	0.8635834675078137
10	0.7954211036056666
11	0.7365536458958023
12	0.690127093307832
13	0.6483326815439525
14	0.6114978336700653
15	0.5767771741507042
16	0.5450795837785989
17	0.5201220821827572
18	0.49748323043190606
19	0.47800961830609956
20	0.456213825866428
21	0.4366486800715244
22	0.415272114211554
23	0.397254840304521
24	0.3816898260552404
25	0.36650063486346307
26	0.353585615891552
27	0.34156551894366344
28	0.32989132858467923
29	0.31657573510403636
30	0.3040257294113426
31	0.29512260456303596
32	0.28760299455712723
33	0.27978619853481107
34	0.27253777305083987
35	0.2659043865972094
36	0.2586380640524944
37	0.2519029788581394
38	0.24367045918385724
39	0.2190362549750239
40	0.1974091480129955
41	0.1924104223290745
42	0.18807599423400975
43	0.18438087179631232
44	0.18077356080475385
45	0.1764382492587207
46	0.1727369516452311
47	0.16952012952112863
48	0.1663507856926959
49	0.16371207436189314
50	0.16104415396225719
51	0.15820432323651268
52	0.15568957763150137
53	0.1532679313314426
54	0.15068685087020559
55	0.14800739461077583
56	0.14595776746318662
57	0.143733167235435
58	0.1412655737037937
59	0.13900667014633186
60	0.13614684824063564
61	0.13385682857307443
62	0.1319316086418314
63	0.12997167603712917
64	0.128210301987351
65	0.12623711456716766
66	0.12437980300248401
67	0.12253166187019486
68	0.12103203350676442
69	0.11934510860371762
70	0.11774710473724535
71	0.1163994622146276
72	0.11519641804106623
73	0.1138718524106219
74	0.11247797432464675
75	0.11093835007061162
76	0.10963574504034847
77	0.10826232284525389
78	0.10685298329535581
79	0.10542076033724054
80	0.10439364333094428
81	0.10327099859486279
82	0.10226973093403924
83	0.10122316700520313
84	0.1000125328510443
85	0.09769584261646375
86	0.09090283925513881
87	0.09006636748790833
88	0.08911500447890484
89	0.08806750025311796
90	0.08714447827240886
91	0.08618404837381523
92	0.08533695154229765
93	0.08446866885596649
94	0.08372098389418035
95	0.08278194272611338
96	0.08190074372748064
97	0.08113314948225463
98	0.08040152455851807
99	0.07944657067423277
100	0.07869219966542668
101	0.07803423932940516
102	0.0773858839743476
103	0.0767711367890385
104	0.07621033370656853
105	0.07560280939432912
106	0.07500986959261452
107	0.07445174013092475
108	0.07391154806966863
109	0.07336970905683585
110	0.07275823981119339
111	0.07213438959501935
112	0.071518736772593
113	0.07097781110819368
114	0.07043915867346244
115	0.07003182426859282
116	0.06960824666166433
117	0.06908767768589065
118	0.06862420615246188
119	0.06811229874428797
120	0.06761535711709271
121	0.06711449624852518
122	0.06669318723930284
123	0.06565580851420232
124	0.06477225015706982
125	0.06400448664263361
126	0.06070544748627033
127	0.05995491757003607
128	0.059485085125085276
129	0.05899229614202875
130	0.05866031782581067
131	0.0583484874452727
132	0.0580041333731192
133	0.057670472091962036
134	0.05729467331480767
135	0.056949989937391865
136	0.05657084744338062
137	0.05616597817444368
138	0.05574499224231881
139	0.055339110815609424
140	0.055031525635445375
141	0.0547148650296202
142	0.05436392537626111
143	0.05404402457116327
144	0.05372547646265847
145	0.05334757392399325
146	0.05304895689456056
147	0.0527424753234914
148	0.052434194167725004
149	0.05201071382730101
150	0.0517090430847749
151	0.05137396722874867
152	0.05107171286968068
153	0.050736852801211596
154	0.05040488811700999
155	0.05009350587754643
156	0.0497907119464344
157	0.0489396415280565
158	0.04847925171953926
159	0.04822498911854513
160	0.047935989223618636
161	0.047668234224952616
162	0.04740678530908945
163	0.04711592734639493
164	0.04685986106197954
165	0.04659736982356186
166	0.046323825841842484
167	0.04606806228719435
168	0.04581615593238476
169	0.04556851923747903
170	0.04525762177688118
171	0.0431572196059554
172	0.04296233690962207
173	0.04274888686919398
174	0.04249883035362199
175	0.04229502298785701
176	0.0420698925054739
177	0.0418285556614402
178	0.04162126103637645
179	0.04142983373478705
180	0.041232936267505724
181	0.04100261228515025
182	0.04082259409833528
183	0.04060082425315507
184	0.04040717421791412
185	0.04021259203536411
186	0.040007626270617457
187	0.03980163785248965
188	0.039638720291366
189	0.03946310210528576
190	0.03929440753321687
191	0.039118899189276204
192	0.03896415513881795
193	0.03880906337468759
194	0.03866110961638672
195	0.03851296163814074
196	0.038361282358560934
197	0.03820189969359998
198	0.03802347212632306
199	0.03783064976015943
200	0.03767319645660855
201	0.037490259294821075
202	0.03732421238649922
203	0.037168409528116196
204	0.03700203994028653
205	0.03682915041641847
206	0.03665638663843426
207	0.03649945601564772
208	0.03635570573016187
209	0.03618947886406336
210	0.03604833451103605
211	0.035921918022189706
212	0.03575855744099549
213	0.03561623292992424
214	0.03548759878696374
215	0.03535292435111035
216	0.035217817116920916
217	0.035058076842269546
218	0.034910151536614094
219	0.03474585802065487
220	0.0345721882684032
221	0.03359634787869659
222	0.033481906440675974
223	0.03335602688307269
224	0.03322384306669364
225	0.033097109903747736
226	0.032965280722483704
227	0.03281465654522371
228	0.03269850418304315
229	0.03256652970822023
230	0.032443997762872344
231	0.03230972666203758
232	0.03219927601098955
233	0.03206097166520789
234	0.03194049148589061
235	0.03178506210206238
236	0.031619437280245195
237	0.03139525474983486
238	0.031175771744184393
239	0.031034185747478512
240	0.030918603034817624
241	0.030774865138048394
242	0.03065748507671973
243	0.03054752810443829
244	0.030436456394660156
245	0.03032471190177472
246	0.030208597139741288
247	0.030083231629280036
248	0.02996343939522074
249	0.029802982316217676
250	0.029680060952227836
251	0.02957047249957493
252	0.029469931136278042
253	0.029374271741217668
254	0.029270384153344705
255	0.02917336467042483
256	0.029092295310757618
257	0.028980735053498817
258	0.028870588911475623
259	0.028674225416715375
260	0.028092006884279864
261	0.027981082156696473
262	0.02789434605694179
263	0.027798361773180538
264	0.027713620067371988
265	0.027611855508139913
266	0.027522126934293237
267	0.02743624235916947
268	0.027351069596782053
269	0.02725082660047175
270	0.02716635280814117
271	0.02707989563619742
272	0.02698664389847027
273	0.02689648769963159
274	0.026788314866830594
275	0.026710463217120055
276	0.026629078495532085
277	0.026546443915992885
278	0.02647257561366181
279	0.026399111614063546
280	0.02631106966550221
281	0.026221051461347886
282	0.026137273805738104
283	0.026062846826204716
284	0.025973265662584757
285	0.025902598282629048
286	0.02583142761325923
287	0.0257633257101775
288	0.025695888291148477
289	0.0256387449571544
290	0.02557305916302054
291	0.02550612255513881
292	0.02541165164224316
293	0.02534212408886139
294	0.025259648894527514
295	0.025185937741739932
296	0.02511414401399143
297	0.025033420984740658
298	0.024950739097794675
299	0.024822009530522878
300	0.024729280581735798
301	0.02464976046036444
302	0.02457793445625531
303	0.02443882141097884
304	0.02432888072452629
305	0.023961719100741987
306	0.02389687480817368
307	0.02383672131419585
308	0.023772238964169558
309	0.02369729548933713
310	0.023632166754242272
