step	loss_loss_value
0	1.0502376556396484
1	1.0147203207015991
2	0.9799914360046387
3	0.9460480213165283
4	0.9128926992416382
5	0.8805257081985474
6	0.8489459156990051
7	0.8181505799293518
8	0.7881372570991516
9	0.758904755115509
10	0.7304449677467346
11	0.7027563452720642
12	54.162681579589844
13	74.50106811523438
14	76.22869873046875
15	67.17485809326172
16	54.003414154052734
17	44.75211715698242
18	34.66536331176758
19	43.98851776123047
20	38.46742248535156
21	36.47205352783203
22	34.71584701538086
23	30.781774520874023
24	27.1236629486084
25	29.438974380493164
26	23.98977279663086
27	20.87095069885254
28	22.37550926208496
29	23.032276153564453
30	17.253498077392578
31	22.5531063079834
32	19.139150619506836
33	15.926641464233398
34	14.508855819702148
35	19.0648193359375
36	13.81851577758789
37	19.955677032470703
38	27.59872055053711
39	27.956174850463867
40	39.361263275146484
41	32.81444549560547
42	35.03893280029297
43	31.6779727935791
44	25.800228118896484
45	30.320274353027344
46	24.119966506958008
47	20.055702209472656
48	27.93746566772461
49	22.577388763427734
50	24.80847930908203
51	26.653682708740234
52	22.488754272460938
53	21.73152732849121
54	19.41553497314453
55	25.15874671936035
56	29.279693603515625
57	20.608936309814453
58	33.21445846557617
59	26.473562240600586
60	20.49976348876953
61	23.13116455078125
62	19.786157608032227
63	24.638137817382812
64	16.087371826171875
65	19.35009765625
66	16.81081771850586
67	15.711963653564453
68	19.723186492919922
69	15.979637145996094
70	17.532772064208984
71	20.050395965576172
72	22.389116287231445
73	12.303874015808105
74	15.324385643005371
75	29.03901481628418
76	21.008251190185547
77	24.289093017578125
78	29.484588623046875
79	27.90669059753418
80	22.61776351928711
81	30.022716522216797
82	32.391136169433594
83	32.26197052001953
84	22.479516983032227
85	24.038257598876953
86	22.06781005859375
87	21.355892181396484
88	25.448427200317383
89	32.31670379638672
90	20.95989227294922
91	23.125154495239258
92	32.06134796142578
93	26.055288314819336
94	31.338542938232422
95	19.746524810791016
96	18.249685287475586
97	21.811220169067383
98	26.94812774658203
99	19.09324073791504
100	18.046436309814453
101	30.441749572753906
102	28.956974029541016
103	9.302091598510742
104	26.149150848388672
105	13.13627815246582
106	13.951579093933105
107	35.69245147705078
108	23.78112030029297
109	21.347169876098633
110	21.18185043334961
111	37.50798034667969
112	19.191606521606445
113	20.609050750732422
114	23.066574096679688
115	16.13574981689453
116	14.62575912475586
117	48.569435119628906
118	50.26044464111328
119	36.52021026611328
120	32.02689743041992
121	17.576290130615234
122	42.75351333618164
123	23.265113830566406
124	31.899185180664062
125	28.853137969970703
126	23.19469451904297
127	18.187156677246094
128	34.477169036865234
129	25.066987991333008
130	26.44481086730957
131	23.14484405517578
132	33.66035842895508
133	29.162561416625977
134	20.591690063476562
135	31.535724639892578
136	22.193641662597656
137	26.98871421813965
138	32.432491302490234
139	16.22808074951172
140	18.61627960205078
141	25.801414489746094
142	23.269203186035156
143	34.298255920410156
144	36.982940673828125
145	22.933509826660156
146	17.199169158935547
147	10.910909652709961
148	30.57155990600586
149	16.608549118041992
150	16.698192596435547
151	23.107501983642578
152	20.92102813720703
153	30.352712631225586
154	18.510887145996094
155	15.607343673706055
156	18.68107795715332
157	28.542293548583984
158	32.364715576171875
159	26.07212257385254
160	11.645875930786133
161	18.241186141967773
162	18.76604652404785
163	32.41838073730469
164	20.706087112426758
165	36.67146682739258
166	22.773269653320312
167	16.506420135498047
168	17.48641586303711
169	23.234764099121094
170	16.428203582763672
171	14.66319465637207
172	29.63596534729004
173	22.15272331237793
174	21.750009536743164
175	19.89339828491211
176	22.80434799194336
177	18.19933319091797
178	21.492380142211914
179	29.452377319335938
180	21.97043228149414
181	16.45798110961914
182	29.172760009765625
183	26.589399337768555
184	22.577129364013672
185	17.563735961914062
186	16.170684814453125
187	17.026447296142578
188	14.21615219116211
189	9.865409851074219
190	22.642372131347656
191	21.62971305847168
192	16.84195327758789
193	14.658160209655762
194	12.942832946777344
195	24.74336814880371
196	15.947284698486328
197	6.616091251373291
198	21.046733856201172
199	20.280336380004883
200	14.56174373626709
201	23.876344680786133
202	20.3668212890625
203	11.608455657958984
204	13.165817260742188
205	24.35997200012207
206	25.169780731201172
207	27.07825469970703
208	14.50831413269043
209	16.337303161621094
210	18.609516143798828
211	26.21129608154297
212	10.575677871704102
213	25.03372573852539
214	16.699825286865234
215	18.602432250976562
216	20.83743667602539
217	30.186992645263672
218	13.312141418457031
219	10.762798309326172
220	20.60385513305664
221	11.414970397949219
222	17.824207305908203
223	21.604984283447266
224	12.210342407226562
225	17.83968734741211
226	16.52758026123047
227	15.811010360717773
228	23.27863121032715
229	14.244316101074219
230	15.392330169677734
231	15.481010437011719
232	17.146739959716797
233	11.484102249145508
234	25.135732650756836
235	14.34762191772461
236	24.52330207824707
237	8.865865707397461
238	8.349494934082031
239	10.251781463623047
240	21.926441192626953
241	18.011554718017578
242	11.921365737915039
243	19.286500930786133
244	13.947310447692871
245	10.879956245422363
246	21.346189498901367
247	13.022607803344727
248	21.134368896484375
249	8.931049346923828
250	21.314929962158203
251	17.67959976196289
252	24.44049644470215
253	20.02124786376953
254	9.008813858032227
255	11.835182189941406
256	12.798040390014648
257	14.891641616821289
258	14.983953475952148
259	22.299152374267578
260	12.805742263793945
261	10.772665023803711
262	24.263687133789062
263	19.12806510925293
264	10.903202056884766
265	14.05634880065918
266	12.093191146850586
267	30.744762420654297
268	15.30240249633789
269	9.346488952636719
270	11.443852424621582
271	21.75156021118164
272	15.958712577819824
273	22.738826751708984
274	21.01437759399414
275	8.188983917236328
276	18.303497314453125
277	13.236611366271973
278	7.607799530029297
279	13.791336059570312
280	11.839073181152344
281	9.991255760192871
282	17.75485610961914
283	15.51093864440918
284	11.576744079589844
285	14.091678619384766
286	16.5915470123291
287	13.04442024230957
288	17.626846313476562
289	17.627490997314453
290	13.539363861083984
291	21.11676597595215
292	13.74112606048584
293	15.950617790222168
294	8.965155601501465
295	26.604328155517578
296	22.018396377563477
297	9.634683609008789
298	9.354883193969727
299	9.83680534362793
300	16.936403274536133
301	18.026897430419922
302	13.410738945007324
303	13.357786178588867
304	15.5540771484375
305	16.397214889526367
306	18.36960792541504
307	14.511505126953125
308	18.983993530273438
309	14.991382598876953
310	15.111512184143066
311	15.094175338745117
312	17.62490463256836
313	11.568462371826172
314	21.718265533447266
315	23.838104248046875
316	22.169795989990234
317	11.692870140075684
318	20.12680435180664
319	12.82160472869873
320	7.734475135803223
321	16.444150924682617
322	18.133411407470703
323	12.83189868927002
324	8.143173217773438
325	26.76209259033203
326	11.66063117980957
327	13.805370330810547
328	16.097307205200195
329	10.3883638381958
330	18.22016143798828
331	10.593812942504883
332	12.315067291259766
333	4.9360456466674805
334	16.34444808959961
335	13.800175666809082
336	13.710891723632812
337	8.648122787475586
338	11.467759132385254
339	30.84703254699707
340	11.969940185546875
341	25.652057647705078
342	18.112964630126953
343	18.282123565673828
344	13.627492904663086
345	18.632112503051758
346	17.132328033447266
347	11.486868858337402
348	8.577654838562012
349	8.25185489654541
350	13.470727920532227
351	12.327587127685547
352	14.902341842651367
353	12.261404037475586
354	12.632115364074707
355	16.492244720458984
356	13.245704650878906
357	15.146516799926758
358	16.241979598999023
359	19.70848846435547
360	20.738365173339844
361	18.184223175048828
362	16.862934112548828
363	13.073415756225586
364	12.609329223632812
365	13.720796585083008
366	14.114298820495605
367	9.988386154174805
368	13.899689674377441
369	11.920631408691406
370	11.036110877990723
371	14.741727828979492
372	13.390785217285156
373	16.871868133544922
374	15.286083221435547
375	23.964384078979492
376	10.318574905395508
377	7.845059394836426
378	9.929010391235352
379	6.5364885330200195
380	13.018547058105469
381	18.251087188720703
382	14.321125030517578
383	11.126847267150879
384	17.521305084228516
385	13.51986312866211
386	8.710043907165527
387	10.351991653442383
388	17.734699249267578
389	21.722434997558594
390	10.038702011108398
391	9.692717552185059
392	21.066682815551758
393	12.32149600982666
394	17.971601486206055
395	11.133598327636719
396	10.057001113891602
397	15.751137733459473
398	12.352872848510742
399	11.852925300598145
400	10.112323760986328
401	10.75690746307373
402	17.273223876953125
403	10.830826759338379
404	16.374835968017578
405	10.365606307983398
406	19.257465362548828
407	16.476760864257812
408	19.600383758544922
409	15.392940521240234
410	8.79771900177002
411	13.70563793182373
412	10.394561767578125
413	11.544246673583984
414	10.616280555725098
415	16.7139892578125
416	12.579225540161133
417	8.87864875793457
418	12.753436088562012
419	12.769976615905762
420	15.129175186157227
421	15.242918014526367
422	22.263198852539062
423	7.959352493286133
424	10.045530319213867
425	12.622808456420898
426	13.713968276977539
427	8.26338005065918
428	10.268592834472656
429	18.099300384521484
430	10.51441478729248
431	7.797893524169922
432	13.121498107910156
433	6.8102312088012695
434	8.406549453735352
435	24.60820960998535
436	17.020240783691406
437	11.995563507080078
438	13.812714576721191
439	21.913169860839844
440	9.240781784057617
441	8.098986625671387
442	8.268798828125
443	23.709857940673828
444	11.200376510620117
445	10.790433883666992
446	17.166736602783203
447	16.265926361083984
448	26.397869110107422
449	8.314005851745605
450	13.615816116333008
451	16.73105239868164
452	11.96767520904541
453	9.986658096313477
454	10.309309005737305
455	11.827478408813477
456	6.855246543884277
457	15.107869148254395
458	15.832040786743164
459	8.343122482299805
460	10.361907958984375
461	14.68502140045166
462	9.772581100463867
463	7.099583148956299
464	10.282567977905273
465	15.809576988220215
466	12.466594696044922
467	8.442913055419922
468	13.372076988220215
469	12.742682456970215
470	14.17037296295166
471	13.017398834228516
472	15.693399429321289
473	10.000679969787598
474	15.521464347839355
475	16.607406616210938
476	9.829973220825195
477	21.06957244873047
478	16.456132888793945
479	14.364629745483398
480	16.651885986328125
481	11.399131774902344
482	13.79135799407959
483	8.44758415222168
484	9.69795036315918
485	9.49094009399414
486	7.745569229125977
487	10.507848739624023
488	10.870600700378418
489	7.850747585296631
490	12.71943473815918
491	14.192715644836426
492	10.273106575012207
493	12.674293518066406
494	8.47347354888916
495	9.83065414428711
496	16.613792419433594
497	15.177042007446289
498	13.040584564208984
499	8.976052284240723
500	15.504077911376953
501	17.492191314697266
502	7.562713146209717
503	9.277299880981445
504	8.282100677490234
505	32.09101867675781
506	8.13210678100586
507	6.836942672729492
508	19.32585906982422
509	9.480489730834961
510	16.02900505065918
511	10.57058334350586
512	9.424072265625
513	10.547591209411621
514	12.095165252685547
515	7.746252059936523
516	11.769186973571777
517	8.79140567779541
518	17.355159759521484
519	10.8706693649292
520	10.431135177612305
521	12.171735763549805
522	11.26895809173584
523	13.676958084106445
524	4.947635650634766
525	11.00991439819336
526	16.295276641845703
527	6.8373212814331055
528	13.347099304199219
529	14.861457824707031
530	10.577756881713867
531	12.222423553466797
532	11.488317489624023
533	16.349123001098633
534	10.60954761505127
535	15.009187698364258
536	8.068419456481934
537	11.099679946899414
538	7.700525283813477
539	7.147660732269287
540	12.441793441772461
541	12.374105453491211
542	10.648202896118164
543	17.428571701049805
544	12.488028526306152
545	16.775440216064453
546	9.702811241149902
547	8.139152526855469
548	16.404773712158203
549	13.074408531188965
550	9.438551902770996
551	9.571883201599121
552	10.049016952514648
553	11.79548454284668
554	14.082548141479492
555	7.806532859802246
556	8.415008544921875
557	15.52230453491211
558	7.937665939331055
559	11.03097152709961
560	10.604866027832031
561	10.494288444519043
562	6.50133752822876
563	6.601187229156494
564	12.675986289978027
565	11.042170524597168
566	10.33102035522461
567	6.8803815841674805
568	6.756460189819336
569	11.418951034545898
570	13.222208976745605
571	11.492302894592285
572	12.502042770385742
573	22.231727600097656
574	24.88350486755371
575	12.702407836914062
576	7.775168418884277
577	14.778409957885742
578	6.168027877807617
579	7.454082012176514
580	12.023887634277344
581	10.940590858459473
582	10.395822525024414
583	9.942166328430176
584	8.541706085205078
585	12.07976245880127
