step	loss_actor
0	0.1760830581188202
1	0.1910717785358429
2	0.2060568928718567
3	0.22103360295295715
4	0.23599760234355927
5	0.25094491243362427
6	0.26587122678756714
7	0.28077232837677
8	0.29564377665519714
9	0.3104816675186157
10	0.32528156042099
11	0.3400394916534424
12	0.37089020013809204
13	0.38580378890037537
14	0.3944650888442993
15	0.3855785131454468
16	0.38453951478004456
17	0.37847477197647095
18	0.3731476068496704
19	0.369355708360672
20	0.3652811050415039
21	0.36255037784576416
22	0.35897111892700195
23	0.3583011031150818
24	0.35780179500579834
25	0.35910940170288086
26	0.3586880564689636
27	0.3577134609222412
28	0.35659193992614746
29	0.3534095883369446
30	0.3523856997489929
31	0.3499188721179962
32	0.3457879424095154
33	0.3407592177391052
34	0.3340434730052948
35	0.3286968767642975
36	0.32549309730529785
37	0.32159191370010376
38	0.307559072971344
39	0.3051140308380127
40	0.29183948040008545
41	0.28831350803375244
42	0.2838665246963501
43	0.27918750047683716
44	0.2747070789337158
45	0.26842838525772095
46	0.26514846086502075
47	0.2629152536392212
48	0.2606511116027832
49	0.2579457759857178
50	0.25826263427734375
51	0.2543487548828125
52	0.2522990107536316
53	0.25147438049316406
54	0.2507467269897461
55	0.24919061362743378
56	0.2501216530799866
57	0.25380629301071167
58	0.24757975339889526
59	0.2527611255645752
60	0.25186944007873535
61	0.25438597798347473
62	0.2557114064693451
63	0.25327029824256897
64	0.2513428330421448
65	0.2561477720737457
66	0.25333330035209656
67	0.258528470993042
68	0.2476591318845749
69	0.24579814076423645
70	0.24606908857822418
71	0.2377874255180359
72	0.23316359519958496
73	0.21980315446853638
74	0.22258645296096802
75	0.2146410048007965
76	0.21018916368484497
77	0.20344826579093933
78	0.1956883668899536
79	0.18669307231903076
80	0.18667393922805786
81	0.17831000685691833
82	0.17534120380878448
83	0.17076905071735382
84	0.17245036363601685
85	0.16612708568572998
86	0.1617390662431717
87	0.15082217752933502
88	0.15612293779850006
89	0.16255396604537964
90	0.15509183704853058
91	0.1574607640504837
92	0.15151675045490265
93	0.1436217576265335
94	0.14831313490867615
95	0.13684473931789398
96	0.136883944272995
97	0.12615007162094116
98	0.12076686322689056
99	0.11520944535732269
