step	episode_reward_mean
0	-25.45416831970215
1	-19.19167137145996
2	-24.458330154418945
3	-48.92499923706055
4	-33.72083282470703
5	-39.45832824707031
6	-30.613637924194336
7	-19.617431640625
8	-36.00416946411133
9	-44.56769561767578
