step	num_collected
0	2.558139534883721
1	2.258426966292135
2	2.287878787878788
3	2.2247191011235956
4	2.290909090909091
5	2.311787072243346
6	2.3947368421052633
7	2.4412607449856734
8	2.4227848101265823
9	2.415909090909091
10	2.415289256198347
11	2.4234404536862004
12	2.4243478260869566
13	2.4168012924071083
14	2.418045112781955
15	2.4422535211267604
16	2.447543160690571
17	2.438047559449312
18	2.4306049822064058
19	2.4074074074074074
20	2.408315565031983
21	2.419387755102041
22	2.420743639921722
23	2.427767354596623
24	2.4356435643564356
25	2.4487847222222223
26	2.4565217391304346
27	2.4508856682769724
28	2.4607614607614607
29	2.4698795180722892
30	2.4661325564457393
31	2.4685956245589273
32	2.4746922024623803
33	2.4830564784053157
34	2.485769728331177
35	2.4780150753768844
36	2.4685784014643075
37	2.4759358288770055
38	2.467246376811594
39	2.468361581920904
40	2.471625344352617
41	2.4768817204301077
42	2.4794952681388014
43	2.4817480719794345
44	2.48868778280543
45	2.4815905743740796
46	2.487487969201155
47	2.4851625058878946
48	2.4808491001384403
49	2.468383017163505
50	2.4694419840566875
51	2.4676508901432914
52	2.4669791222837665
53	2.4705144291091594
54	2.4722792607802875
55	2.473790322580645
56	2.473454833597464
57	2.47100038925652
58	2.4688336520076484
59	2.469326307866014
60	2.4690855238800444
61	2.4637786676374227
62	2.4595272206303727
63	2.456146530468475
64	2.451993067590988
65	2.453924914675768
66	2.449630624580255
67	2.4497354497354498
68	2.450603195304858
69	2.4511568123393315
70	2.447751741608613
71	2.4460049937578026
72	2.444923076923077
73	2.4426925409338995
74	2.445109183368232
75	2.4457547169811322
76	2.444282804771603
77	2.4451464675473864
78	2.4464285714285716
79	2.445034965034965
80	2.4406077348066297
81	2.4392905866302863
82	2.4408196279320573
83	2.43740010655301
84	2.437516443041305
85	2.4312808521693947
86	2.431981519507187
87	2.4286076591427848
88	2.424455023803558
89	2.4250681198910082
90	2.4305657604702424
91	2.4314769975786925
92	2.4297342590375868
93	2.42830099384761
94	2.4257309941520466
95	2.421831637372803
96	2.421088746569076
97	2.421493212669683
98	2.417282292366241
99	2.4179401993355483
100	2.4163560622670466
101	2.418185763888889
102	2.4165413533834585
103	2.4182088917251647
104	2.416087597388924
105	2.41534612176814
106	2.413465510119785
107	2.415302782324059
108	2.4168523394774155
109	2.4164493480441323
110	2.4164514206238823
111	2.4169291338582677
112	2.416617905207724
113	2.4166988790104367
114	2.4146715188661174
115	2.4141989369779804
116	2.4143771170493036
117	2.4130921298023127
118	2.4107968201146237
119	2.4115814550119112
120	2.407447774750227
121	2.4078141879726322
122	2.407605784681307
123	2.4057355284121082
124	2.404456922267064
125	2.405325443786982
126	2.4062122519413287
127	2.4055441478439423
128	2.4056347589952476
129	2.40366818105334
130	2.40303738317757
131	2.400198609731877
132	2.3996059760302084
133	2.3980123818833494
134	2.396574014221073
135	2.393779060445727
136	2.3942093541202674
137	2.3931165140511523
138	2.3943904732058914
139	2.393873425594775
140	2.3929618768328447
141	2.3923701547418417
142	2.392150897474901
143	2.3932346723044398
144	2.391995203117973
145	2.3915761273999108
146	2.392107596807567
147	2.3899647887323945
148	2.388727060879697
149	2.387218045112782
150	2.3863049095607236
151	2.3854047890535917
152	2.3849093997734996
153	2.383415319747013
154	2.3837777467541534
155	2.3850742127895685
156	2.3831106212976993
157	2.380900259953482
158	2.3838727223279848
159	2.3842204809510945
160	2.3833870101986045
161	2.383384451260168
162	2.3836777954425012
163	2.3813347373963407
164	2.380198796756474
165	2.379077322936972
166	2.3794706262104586
167	2.379858883899936
168	2.3788883222845487
169	2.3811454637607703
170	2.3808564231738036
171	2.379176573645351
172	2.378264113404626
173	2.379480840543881
174	2.3810986850190488
175	2.3824068417837507
176	2.3821957736215693
