step	loss_loss_actor
0	-0.08284658193588257
1	-0.06538901478052139
2	-0.04793953895568848
3	-0.030504150316119194
4	-0.013089761137962341
5	0.004297960549592972
6	0.021652787923812866
7	0.03896854817867279
8	0.056239351630210876
9	0.07345911115407944
10	0.0906219482421875
11	0.10772180557250977
12	0.13069486618041992
13	0.09186646342277527
14	0.04119325056672096
15	-0.025646375492215157
16	-0.07987746596336365
17	-0.10676725208759308
18	-0.12614145874977112
19	-0.16043031215667725
20	-0.1632320135831833
21	-0.1808515191078186
22	-0.2105725109577179
23	-0.212090402841568
24	-0.23025132715702057
25	-0.24885842204093933
26	-0.25575387477874756
27	-0.2676141858100891
28	-0.2646409273147583
29	-0.28331926465034485
30	-0.29269030690193176
31	-0.3007800579071045
32	-0.3106883764266968
33	-0.3254665732383728
34	-0.32514622807502747
35	-0.3263825476169586
36	-0.3258517384529114
37	-0.3286621570587158
38	-0.33007025718688965
39	-0.34563130140304565
40	-0.3357972204685211
41	-0.3487648367881775
42	-0.35639849305152893
43	-0.35102760791778564
44	-0.36891981959342957
45	-0.3698517084121704
46	-0.3799574375152588
47	-0.3842153549194336
48	-0.38338661193847656
49	-0.3794405460357666
50	-0.39366430044174194
51	-0.3963013291358948
52	-0.3939269185066223
53	-0.4060665965080261
54	-0.40544989705085754
55	-0.40856340527534485
56	-0.41344335675239563
57	-0.4135637879371643
58	-0.4238840341567993
59	-0.43495315313339233
60	-0.4400704503059387
61	-0.4398040771484375
62	-0.46224266290664673
63	-0.46300727128982544
64	-0.47284626960754395
65	-0.47103026509284973
66	-0.4867855906486511
67	-0.504040002822876
68	-0.48977336287498474
69	-0.5103231072425842
70	-0.48978644609451294
71	-0.5115298628807068
72	-0.5186419486999512
73	-0.5199800729751587
74	-0.5266507863998413
75	-0.5218260884284973
76	-0.543624758720398
77	-0.541255533695221
78	-0.5377110242843628
79	-0.5588910579681396
80	-0.5370078086853027
81	-0.5686372518539429
82	-0.5548861026763916
83	-0.5521290302276611
84	-0.5595953464508057
85	-0.5497813820838928
86	-0.5472050905227661
87	-0.5489040017127991
88	-0.5620263814926147
89	-0.5633164048194885
90	-0.566441535949707
91	-0.5612326264381409
92	-0.564671516418457
93	-0.5656147003173828
94	-0.570758581161499
95	-0.5572689771652222
96	-0.564197301864624
97	-0.5488520264625549
98	-0.5618929266929626
99	-0.5654072761535645
100	-0.5476450324058533
101	-0.5697203874588013
102	-0.573973536491394
103	-0.5570269227027893
104	-0.5607617497444153
105	-0.5780193209648132
106	-0.5871995687484741
107	-0.5627820491790771
108	-0.587676465511322
109	-0.5798631310462952
110	-0.5664142370223999
111	-0.5850495100021362
112	-0.5659710764884949
113	-0.586035966873169
114	-0.579503059387207
115	-0.5775309801101685
116	-0.5869252681732178
117	-0.5956968069076538
118	-0.5776254534721375
119	-0.5975562334060669
120	-0.595935583114624
121	-0.5946627855300903
122	-0.5764941573143005
123	-0.592111349105835
124	-0.5990970730781555
125	-0.5920674800872803
126	-0.614254355430603
127	-0.6363784074783325
128	-0.6039392948150635
129	-0.6222314238548279
130	-0.6187478303909302
131	-0.6449675559997559
132	-0.6110768914222717
133	-0.6184064149856567
134	-0.6303017735481262
135	-0.6337031126022339
136	-0.6352589130401611
137	-0.5965468883514404
138	-0.617113471031189
139	-0.6253517866134644
140	-0.6461120843887329
141	-0.5948672890663147
142	-0.6169127821922302
143	-0.6442917585372925
144	-0.611360490322113
145	-0.6254347562789917
146	-0.6289612054824829
147	-0.5711473226547241
148	-0.6382735967636108
149	-0.629021942615509
150	-0.639485239982605
151	-0.6279591917991638
152	-0.6230756044387817
153	-0.6435529589653015
154	-0.6042808294296265
155	-0.6325501799583435
